Name,Link,Size,Extension,Bookmark,Category,MD5,SHA1,Deleted,Carved,Accessed,Modified,Created,Path,TrackId
memtest.exe,,809288,exe,,Programs and Libraries,ECDFEFADD490B91C7729ED9FDD38227D,39C0032F346A322EDEF5065205DD9ACCA392DB37,false,false,Fri Jun 21 18:20:21 BRT 2024,Thu Apr 04 23:17:59 BRT 2024,Fri Jun 21 18:20:21 BRT 2024,/SRVBSAWDC003-flat.vmdk/vol_vol2/Boot/memtest.exe,a5dcbcecc867beba639cfc0eb00cb94a
locker_out.exe,,100352,exe,,Programs and Libraries,0CD058BC24550C0D261A9D7233D23184,1AE8BF3DEF55C476E33308DA6127F1EF1EEBE8EB,false,false,Tue Jul 23 11:06:49 BRT 2024,Wed Jul 10 12:41:35 BRT 2024,Tue Jul 23 11:06:49 BRT 2024,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/locker_out.exe,3418f99ddc6edfd0c97a9723bb8b7d06
ConfigSecurityPolicy.exe,,306176,exe,,Programs and Libraries,83EDE17A1087F8D5779A6C023B5B490A,26C25BF7E2877EF97B7E988B6CFB195C93A872F0,false,false,Fri Nov 06 18:16:18 BRT 2020,Thu Apr 27 20:51:51 BRT 2017,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/ConfigSecurityPolicy.exe,bb1dfc936981d9dd5451b8a74bcad7a2
MpCmdRun.exe,,541576,exe,,Programs and Libraries,EEC27FC7FA4E054BA7108573F9C55B31,C7E6BDEFBA7A02931ABBED57DB9C85CEB6548E55,false,false,Fri Nov 06 18:16:18 BRT 2020,Fri Nov 06 18:16:16 BRT 2020,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/MpCmdRun.exe,4a566ea21a192d37eaf071d5dbc85e95
MpDlpCmd.exe,,310184,exe,,Programs and Libraries,A9D4C6D5F05031FA64F40A67EFDB94E2,27271F018D64C24274409A35CC0693C52749C5D3,false,false,Fri Nov 06 18:16:18 BRT 2020,Fri Nov 06 18:16:16 BRT 2020,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/MpDlpCmd.exe,e5736ba12e89d9bb7dadae5eb6c17c3f
MsMpEng.exe,,128376,exe,,Programs and Libraries,342A0EED126646E3FEC58D1BDC3B5B3D,C43FDF2F9F7C52B7E2ACC1F8FE6F8B5EA9279ADC,false,false,Fri Nov 06 18:16:18 BRT 2020,Fri Nov 06 18:16:16 BRT 2020,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/MsMpEng.exe,56309fdea533ce34ebd3a2ddd3055f82
NisSrv.exe,,2467088,exe,,Programs and Libraries,5DD9CE9EAF53FF20BB3862DB7B352220,A36FEC84C4D4D0B90A24F260B389A66C63034877,false,false,Fri Nov 06 18:16:18 BRT 2020,Fri Nov 06 18:16:16 BRT 2020,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/NisSrv.exe,1e152913b6be2e0d73269dae25054f15
MpCmdRun.exe,,471472,exe,,Programs and Libraries,D2762A3C8289B453626AAC39707E77D0,C4E3B57322FAC90879B33EE5228418B3DAF2F151,false,false,Fri Nov 06 18:16:18 BRT 2020,Fri Nov 06 18:16:16 BRT 2020,Fri Nov 06 18:16:18 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2010.7-0/X86/MpCmdRun.exe,8d08534b6728dd29576dba8216c7784c
MsMpEng.exe,,128376,exe,,Programs and Libraries,D454A99D57B443CA7EDC229C9532B09C,4713080BDB159930A7E853C731935F67F4628AE2,false,false,Fri Dec 04 14:04:20 BRT 2020,Fri Dec 04 14:04:17 BRT 2020,Fri Dec 04 14:04:20 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2011.6-0/MsMpEng.exe,503339659d49ad48c8da33a196dc72d9
NisSrv.exe,,2491880,exe,,Programs and Libraries,A0DF3E9AAF3E0B8453CC3065A6B4F8E2,03014E08257BC681660A6AC31C255C6BCCC59EB0,false,false,Fri Dec 04 14:04:20 BRT 2020,Fri Dec 04 14:04:17 BRT 2020,Fri Dec 04 14:04:20 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2011.6-0/NisSrv.exe,78841157857d75bd908f456b0760c5c0
MpCmdRun.exe,,545704,exe,,Programs and Libraries,D1DC475DC8A08618A40809F5F2CBC5E4,C0DC5DF2D027FE4E4CBAF6D9F99D9AEE08B3106B,false,false,Fri Dec 04 14:04:20 BRT 2020,Fri Dec 04 14:04:17 BRT 2020,Fri Dec 04 14:04:20 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2011.6-0/MpCmdRun.exe,1f16a813479e765ec5134b7c7eba8830
MpDlpCmd.exe,,310184,exe,,Programs and Libraries,C640AC86A7FF9252E1D21FD08D399D1D,D7FEEBF752546AF49C0C854F4E06D89415CDB5E7,false,false,Fri Dec 04 14:04:20 BRT 2020,Fri Dec 04 14:04:17 BRT 2020,Fri Dec 04 14:04:20 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2011.6-0/MpDlpCmd.exe,d80c6d997f733e54fae17319384e29d1
MpCmdRun.exe,,472504,exe,,Programs and Libraries,CDB6E3963488F696F20DB5EEF82B2684,3FEDC29574423C8DDBBC3BD77F2D35C44A808953,false,false,Fri Dec 04 14:04:20 BRT 2020,Fri Dec 04 14:04:17 BRT 2020,Fri Dec 04 14:04:20 BRT 2020,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Microsoft/Windows Defender/platform/4.18.2011.6-0/X86/MpCmdRun.exe,dba328dbff614da1154e01b68e4eb71c
Netwrix.ALE.Executor.exe,,31984,exe,,Programs and Libraries,73D47B74BA9E2FB5304B4074541724D3,E5B76DF8D8FEF61A412F69FAD46B7EFCCF704A48,false,false,Fri Aug 11 09:22:26 BRT 2023,Fri May 07 16:53:55 BRT 2021,Fri Aug 11 09:22:26 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Netwrix Account Lockout Examiner/Libraries/Netwrix.ALE.Executor.exe,b92e822c016739ebbfd9453ccaa39d07
MobaXterm_Personal_24.1.exe,,16960424,exe,,Programs and Libraries,AD739C2E9985161BC2FF9ED3A9A393CA,F5CA50EE8BC9D01760C7D0D4FC0C814CBBF26BC9,false,false,Tue Jul 23 10:46:56 BRT 2024,Tue Jul 02 07:45:34 BRT 2024,Tue Jul 23 10:46:56 BRT 2024,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/MobaXterm_Personal_24.1.exe,d5a137cef36a120671a1ee9ff6d4a4d8
RemExec.exe,,208112,exe,,Programs and Libraries,A4977BF74DD9DF72593CA560D219F3B1,33DFD3F4157A4F29783C35E97F2C1BACAB6699C1,false,false,Fri Aug 11 09:22:26 BRT 2023,Fri May 07 16:53:59 BRT 2021,Fri Aug 11 09:22:26 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Netwrix Account Lockout Examiner/Libraries/RemExec.exe,bcd5f18dca99e506b2eb9d905adbf531
Netwrix.ALE.Launcher.exe,,71408,exe,,Programs and Libraries,3E6448BDE464CC02762DE87F1928CF17,CEC1DFF6C7D236D4F1571157614B9F932501E1C3,false,false,Fri Aug 11 09:22:26 BRT 2023,Fri May 07 16:53:56 BRT 2021,Fri Aug 11 09:22:26 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Netwrix Account Lockout Examiner/Netwrix.ALE.Launcher.exe,92edca620d80bee04fe0d2fa130fe938
Netwrix.ALE.Updater.exe,,47344,exe,,Programs and Libraries,64ECE40DC80BD41813C60551596B106A,BC638224FAF240063104993BAE4FB60C8C4B6DC5,false,false,Fri Aug 11 09:22:26 BRT 2023,Fri May 07 16:53:57 BRT 2021,Fri Aug 11 09:22:26 BRT 2023,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Netwrix Account Lockout Examiner/Netwrix.ALE.Updater.exe,74d6827a3ae0100400b5c5b6e2b53985
VC_redist.x86.exe,,647656,exe,,Programs and Libraries,6DE2A5EED70DFC2857C3850CFB92BF94,22990A282043DFC87C320753BEF3D7A08FAFE6BA,false,false,Wed Aug 31 19:21:43 BRT 2022,Wed Aug 31 19:21:42 BRT 2022,Wed Aug 31 19:21:43 BRT 2022,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Package Cache/{1b5476d9-ab8e-4b0d-b004-059a1bd5568b}/VC_redist.x86.exe,6dfc1382c2a3ab7741507bb90e20eb37
VC_redist.x64.exe,,647696,exe,,Programs and Libraries,BB8A22F888EBE282452302A1B500F442,064B2A270D6A26DB0DF6F7DB586468A98B439E95,false,false,Wed Aug 31 19:21:55 BRT 2022,Wed Aug 31 19:21:55 BRT 2022,Wed Aug 31 19:21:55 BRT 2022,/SRVBSAWDC003-flat.vmdk/vol_vol3/ProgramData/Package Cache/{43d1ce82-6f55-4860-a938-20e5deb28b98}/VC_redist.x64.exe,9ac35851ebb7a8730d64d0dad05af768
